data, kurs XDR/USD
2018-12-27, 1.3849425
2018-12-28, 1.3947269
2018-12-31, 1.3887278
2019-01-02, 1.3884473
2019-01-03, 1.3880297
2019-01-04, 1.3942736
2019-01-07, 1.3953427
2019-01-08, 1.3937006
2019-01-09, 1.3960649
2019-01-10, 1.4014989
2019-01-11, 1.3959613
2019-01-14, 1.3907844
2019-01-15, 1.3929199
2019-01-16, 1.3937904
2019-01-17, 1.3937792
2019-01-18, 1.3938823
2019-01-21, 1.3894466
2019-01-22, 1.3882099
2019-01-23, 1.3909185
2019-01-24, 1.3897843
2019-01-25, 1.3899401
